date,GDPC1,GDPDEF
1995-01-01,11319.951,66.452
1995-04-01,11353.721,66.771
1995-07-01,11450.31,67.1
1995-10-01,11528.067,67.423
1996-01-01,11614.418,67.747
1996-04-01,11808.14,68.028
1996-07-01,11914.063,68.251
1996-10-01,12037.775,68.615
1997-01-01,12115.472,69.025
1997-04-01,12317.221,69.162
1997-07-01,12471.01,69.464
1997-10-01,12577.495,69.695
1998-01-01,12703.742,69.794
1998-04-01,12821.339,69.959
1998-07-01,12982.752,70.255
1998-10-01,13191.67,70.453
1999-01-01,13315.597,70.682
1999-04-01,13426.748,70.949
1999-07-01,13604.771,71.2
1999-10-01,13827.98,71.595
2000-01-01,13878.147,72.071
2000-04-01,14130.908,72.52
2000-07-01,14145.312,72.944
2000-10-01,14229.765,73.337
2001-01-01,14183.12,73.822
2001-04-01,14271.694,74.266
2001-07-01,14214.516,74.558
2001-10-01,14253.574,74.792
2002-01-01,14372.785,75.027
2002-04-01,14460.848,75.289
2002-07-01,14519.633,75.65
2002-10-01,14537.58,76.089
2003-01-01,14614.141,76.461
2003-04-01,14743.567,76.73
2003-07-01,14988.782,77.169
2003-10-01,15162.76,77.639
2004-01-01,15248.68,78.193
2004-04-01,15366.85,78.824
2004-07-01,15512.619,79.324
2004-10-01,15670.88,79.939
2005-01-01,15844.727,80.578
2005-04-01,15922.782,81.158
2005-07-01,16047.587,81.898
2005-10-01,16136.734,82.571
2006-01-01,16353.835,83.156
2006-04-01,16396.151,83.882
2006-07-01,16420.738,84.468
2006-10-01,16561.866,84.77
2007-01-01,16611.69,85.576
2007-04-01,16713.314,86.171
2007-07-01,16809.587,86.642
2007-10-01,16915.191,86.993
2008-01-01,16843.003,87.315
2008-04-01,16943.291,87.738
2008-07-01,16854.295,88.399
2008-10-01,16485.35,88.613
2009-01-01,16298.262,88.543
2009-04-01,16269.145,88.396
2009-07-01,16326.281,88.501
2009-10-01,16502.754,88.781
2010-01-01,16582.71,89.036
2010-04-01,16743.162,89.471
2010-07-01,16872.266,89.743
2010-10-01,16960.864,90.264
2011-01-01,16920.632,90.726
2011-04-01,17035.114,91.326
2011-07-01,17031.313,91.876
2011-10-01,17222.583,91.985
2012-01-01,17367.01,92.525
2012-04-01,17444.525,92.907
2012-07-01,17469.65,93.417
2012-10-01,17489.852,93.885
2013-01-01,17662.4,94.258
2013-04-01,17709.671,94.461
2013-07-01,17860.45,94.924
2013-10-01,18016.147,95.426
2014-01-01,17953.974,95.788
2014-04-01,18185.911,96.33
2014-07-01,18406.941,96.726
2014-10-01,18500.031,96.822
2015-01-01,18666.621,96.769
2015-04-01,18782.243,97.325
2015-07-01,18857.418,97.583
2015-10-01,18892.206,97.581
2016-01-01,19001.69,97.496
2016-04-01,19062.709,98.159
2016-07-01,19197.938,98.41
2016-10-01,19304.352,98.886
2017-01-01,19398.343,99.39
2017-04-01,19506.949,99.65
2017-07-01,19660.766,100.162
2017-10-01,19882.352,100.778
2018-01-01,20044.077,101.419
2018-04-01,20150.476,102.136
2018-07-01,20276.154,102.577
2018-10-01,20304.874,103.019
2019-01-01,20431.641,103.328
2019-04-01,20602.275,103.862
2019-07-01,20843.322,104.192
2019-10-01,20985.448,104.516
2020-01-01,20709.212,105.032
2020-04-01,19077.992,104.614
2020-07-01,20558.879,105.572
2020-10-01,20791.917,106.23
2021-01-01,21082.134,107.583
2021-04-01,21440.929,109.258
2021-07-01,21617.828,110.938
2021-10-01,21988.737,112.847
2022-01-01,21932.71,115.126
2022-04-01,21967.045,117.728
2022-07-01,22125.625,119.031
2022-10-01,22278.345,120.164
2023-01-01,22439.607,121.288
2023-04-01,22580.499,121.92
2023-07-01,22840.989,122.914
2023-10-01,23033.78,123.405
2024-01-01,23082.119,124.374
2024-04-01,23286.508,125.167
2024-07-01,23478.57,125.696
2024-10-01,23586.542,126.45
2025-01-01,23548.21,127.577
2025-04-01,23770.976,128.248
2025-07-01,24026.834,129.43
2025-10-01,24055.749,130.624
2026-01-01,24174.527,131.776
