nowcast_date,y_true,y_pred,alpha_selected
2019-02-28,2.4895091629069555,3.0609434,41.753189365604044
2019-05-31,3.326711173158259,1.2544647,41.753189365604044
2019-08-31,4.6528410323638525,1.9610075,41.753189365604044
2019-11-30,2.7182543872214637,2.2348495,62.10169418915616
2020-02-29,-5.300247883186415,2.1685505,41.753189365604044
2020-05-31,-32.81728241610793,25.318623,62.10169418915616
2020-08-31,29.902998544979198,-1.8887019,1000.0
2020-11-30,4.508555862817332,2.1333919,1000.0
2021-02-28,5.544658613895592,2.635116,1000.0
2021-05-31,6.750285416705282,2.438403,1000.0
2021-08-31,3.2866716567674814,2.3216393,1000.0
2021-11-30,6.804809235885756,2.1611495,1000.0
2022-02-28,-1.0204951651815009,2.2376528,1000.0
2022-05-31,0.6256983803410776,2.3521419,1000.0
2022-08-31,2.877225330117028,2.2825196,1000.0
2022-11-30,2.7514765401292607,3.0222235,1000.0
2023-02-28,2.884974679699326,2.5699196,1000.0
2023-05-31,2.503636219206129,2.4849136,1000.0
2023-08-31,4.5880109584366835,2.1272726,1000.0
2023-11-30,3.3620596105876643,2.1314688,1000.0
2024-02-29,0.8385657658578793,2.0477414,1000.0
2024-05-31,3.5263554170946065,2.2180204,1000.0
2024-08-31,3.2855812596196188,2.3476272,1000.0
2024-11-30,1.8352819713321367,2.0263855,1000.0
